title,creator,agerecommendation,active,favorites,visits,created,updated,serversize,likes,dislikes,gamelink,datefetched,like_ratio,player_to_visit_ratio,genre_action,genre_adventure,genre_education,genre_entertainment,genre_obby_&_platformer,genre_party_&_casual,genre_puzzle,genre_rpg,genre_roleplay_&_avatar_sim,genre_shooter,genre_shopping,genre_simulation,genre_social,genre_sports_&_racing,genre_strategy,genre_survival,camera_not_supported,camera_supported,vc_not_supported,vc_supported
Studio Lite,@ScottSpiritWalker,All Ages,300,53036,15700000.0,9/20/2022,11/5/2024,1,16000.0,3902.0,https://www.roblox.com/games/10959918411/Studio-Lite?gameSearchSessionInfo=819f7e13-095a-4c52-be09-302a136bc877&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10959918411&amp;position=0&amp;universeId=3951147015,11/5/2024 20:26,0.803939302582655,1.910828025477707e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[🎃 EVENT] Driving Empire 🏎️ Car Racing,Driving Empire by Voldex,All Ages,9627,13733888,1600000000.0,6/23/2019,11/5/2024,25,1000000.0,113000.0,https://www.roblox.com/games/3351674303/EVENT-Driving-Empire-Car-Racing?gameSearchSessionInfo=0dcc2150-14d8-489b-957a-21ce226accc2&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3351674303&amp;position=0&amp;universeId=1202096104,11/5/2024 20:26,0.8984725965858041,6.016875e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
🎉 🏆 SUPER GUYS [🎃UPDATE!],SGD GAMES,All Ages,125,93929,9600000.0,4/6/2024,11/3/2024,12,1337.0,770.0,https://www.roblox.com/games/17033334805/SUPER-GUYS-UPDATE?gameSearchSessionInfo=d06c81a5-eca7-46a4-9814-071733964ec3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17033334805&amp;position=0&amp;universeId=5841133479,11/5/2024 20:26,0.6345514950166113,1.3020833333333334e-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
[🎃] Dungeon Quest! ⚔️ RPG Adventure,Dungeon Quest by Voldex,Ages 9+,5234,4243151,2100000000.0,9/26/2018,11/2/2024,40,1000000.0,96000.0,https://www.roblox.com/games/2414851778/Dungeon-Quest-RPG-Adventure?gameSearchSessionInfo=ef8deb73-5240-4f17-a5af-5f05d1496d64&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=2414851778&amp;position=0&amp;universeId=848145103,11/5/2024 20:26,0.9124087591240876,2.4923809523809522e-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
weird strict dad [BOOK 2],BlueLoop Studios,All Ages,515,465052,341100000.0,9/16/2023,9/21/2024,20,115000.0,21000.0,https://www.roblox.com/games/14787369036/weird-strict-dad-BOOK-2?gameSearchSessionInfo=d818b5a5-7944-4e10-9ec4-85767120178f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14787369036&amp;position=0&amp;universeId=5096440156,11/5/2024 20:26,0.8455882352941176,1.5098211668132512e-06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2 Player Monkey Obby,Certified Monkey Business,All Ages,233,123378,38700000.0,5/18/2024,7/17/2024,22,27000.0,5362.0,https://www.roblox.com/games/17521736603/2-Player-Monkey-Obby?gameSearchSessionInfo=4020ecb8-b8ff-4876-9f1b-7bc5c0688c1a&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17521736603&amp;position=0&amp;universeId=5997482110,11/5/2024 20:26,0.8343118472282306,6.020671834625323e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
[🎃] Super League Soccer,Play! Football,All Ages,7281,457336,599600000.0,1/17/2023,11/4/2024,14,219000.0,46000.0,https://www.roblox.com/games/12177325772/Super-League-Soccer?gameSearchSessionInfo=052f9cde-b0d4-446e-90b8-a015f3e8f15e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=12177325772&amp;position=0&amp;universeId=4293374620,11/5/2024 20:26,0.8264150943396227,1.2143095396931288e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
[🎃] untitled boxing game🥊,drowningsome,Ages 9+,6543,793244,675700000.0,6/2/2023,11/4/2024,20,742000.0,119000.0,https://www.roblox.com/games/13621938427/untitled-boxing-game?gameSearchSessionInfo=83a51e5c-adec-4cf9-af93-d06d8fc0079e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13621938427&amp;position=0&amp;universeId=4730278139,11/5/2024 20:26,0.8617886178861789,9.683291401509546e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Anime Racing Clicker 🍜,Clicker House,All Ages,240,159360,105700000.0,8/26/2022,10/21/2024,18,81000.0,8088.0,https://www.roblox.com/games/10714365287/Anime-Racing-Clicker?gameSearchSessionInfo=1328dec8-1711-432b-a721-c08864d80a29&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10714365287&amp;position=0&amp;universeId=3878727131,11/5/2024 20:27,0.9092133620689655,2.270577105014191e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[🎃FREE UGC🧻]Skibidi Toilet Battle,Skibidi Toilet Boom Studio,All Ages,3136,786321,66800000.0,4/16/2024,11/5/2024,25,73000.0,3460.0,https://www.roblox.com/games/17166519103/FREE-UGC-Skibidi-Toilet-Battle?gameSearchSessionInfo=a729da7d-fa91-4be2-8a75-7b58cf40f3c6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17166519103&amp;position=0&amp;universeId=5878543726,11/5/2024 20:27,0.9547475804342139,4.694610778443114e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
